Código 2,Producto,PUBLICO TIENDA
CAR-IPH14P-B,CARCASA IPHONE 14 PRO BLANCO,0
CAR-IPH15-AM,CARCASA IPHONE 15 AMARILLO,0
CAR-IPH15-N,CARCASA IPHONE 15 NEGRO,0
CAR-IPH15PM-B,CARCASA IPHONE 15 PRO MAX BLANCO,7000
CAR-IPH16-A,CARCASA IPHONE 16 AZUL,7200
CH-IPH5S-G,CARCASA IPHONE 5S GRIS,1290
CA-IPH7-B,CARCASA IPHONE 7 BLANCA,3900
CA-IPH7-N,CARCASA IPHONE 7 NEGRA,3900
C-IPH8-B,CARCASA IPHONE 8 BLANCA,4190
C-IPH8-D,CARCASA IPHONE 8 DORADA,4190
C-IPH8-N,CARCASA IPHONE 8 NEGRO,4190
C-IPH8P-B,CARCASA IPHONE 8 PLUS BLANCA,4000
CA-IPH8P-D,CARCASA IPHONE 8 PLUS DORADO,4000
C-IPH8P-N,CARCASA IPHONE 8 PLUS NEGRA,4000
CA-IPH8PR6,CARCASA IPHONE 8 PLUS ROSE GOLD,4000
CH-IPHSE-B,CARCASA IPHONE SE 2020 BLANCA,4990
CH-IPHSE-N,CARCASA IPHONE SE 2020 NEGRA,4990
CAR-IPHXR-A,CARCASA IPHONE XR NEGRO,5500
CA-IPHXSM-B,CARCASA IPHONE XS MAX BLANCA,4800
CA-IPHXSM,CARCASA IPHONE XS MAX NEGRO,4800
D-S138MM,DISPLAY APPLE WATCH S1 38MM,5000
D-S142MM,DISPLAY APPLE WATCH S1 42MM,5000
D-S144MM,DISPLAY APPLE WATCH S1 44MM,5000
D-S238MM,DISPLAY APPLE WATCH S2 38MM,6000
D-S242MM,DISPLAY APPLE WATCH S2 42MM,6000
D-S338MM,DISPLAY APPLE WATCH S3 38 MM,6000
D-S342MM,DISPLAY APPLE WATCH S3 42 MM,6000
D-S344MM,DISPLAY APPLE WATCH S3 44MM,6400
D-S440MM,DISPLAY APPLE WATCH S4 40MM,6500
D-S444MM,DISPLAY APPLE WATCH S4 44MM,6500
D-S540MM,DISPLAY APPLE WATCH S5 40MM,6500
D-S544MM,DISPLAY APPLE WATCH S5 44MM,6500
D-S640MM,DISPLAY APPLE WATCH S6 40MM,6900
D-S644MM,DISPLAY APPLE WATCH S6 44MM,6900
D-S741MM,DISPLAY APPLE WATCH S7 41 MM,7500
D-S745MM,DISPLAY APPLE WATCH S7 45 MM,7500
D-SE40MM,DISPLAY APPLE WATCH SE 40 MM,5500
D-SE44MM,DISPLAY APPLE WATCH SE 44MM,5500
FV-IPH11V,FLEX  VOL + / -  IPHONE 11,2590
FV-IPH11PV,FLEX  VOL + / -  IPHONE 11 PRO,2890
FV-IPH11PMXV,FLEX  VOL + / -  IPHONE 11 PRO MAX,3500
FV-IPHXV,FLEX  VOL + / -  IPHONE X,1600
FV-IPHXSV,FLEX  VOL + / -  IPHONE XS,1800
FV-IPHXSMXV,FLEX  VOL + / -  IPHONE XS MAX,1800
FA-HUAP9,FLEX ALTAVOZ HUAWEI P9,1200
FA-HUAP9L,FLEX ALTAVOZ HUAWEI P9 LITE,1200
FA-HUAP9P,FLEX ALTAVOZ HUAWEI P9 PLUS,1200
FA-IPHXSMAX,FLEX ALTAVOZ IPHONE XS / XS MAX,1500
FA-SAMA10S,FLEX ALTAVOZ SAMSUNG A10S,0
FA-SAMJ8,FLEX ALTAVOZ SAMSUNG J8,1600
FA-SAMS10P,FLEX ALTAVOZ SAMSUNG S10 PLUS,1600
FA-SAMS20U,FLEX ALTAVOZ SAMSUNG S20 ULTRA,1690
FA-SAMS22U,FLEX ALTAVOZ SAMSUNG S22 ULTRA,1800
F-ASAMS9,FLEX ALTAVOZ SAMSUNG S9,1790
A-SOXZ1,FLEX ALTAVOZ SONY X PERIA Z1,1800
A-SOXZ2,FLEX ALTAVOZ SONY X PERIA Z2,1800
FA-SONYZ5P,FLEX ALTAVOZ SONY Z5 PREMIUM,1800
7736262852076,FLEX ALTAVOZ XIAOMI REDMI NOTE 9,1200
FA-XIARMN9S,FLEX ALTAVOZ XIAOMI REDMI NOTE 9S,1490
F-SAMS20P-LTE4G,FLEX ANTENA SAMSUNG S20 PLUS LTE 5G,1500
AU-IPHX,FLEX AURICULAR + SENSOR DE PROXIMIDAD IPHONE X,2290
AU-IPHXR,FLEX AURICULAR + SENSOR DE PROXIMIDAD IPHONE XR,1990
A-IPH11,FLEX AURICULAR IPHONE 11 + SENSOR PROXIMIDAD,1990
A-IPH11PM,FLEX AURICULAR IPHONE 11 PRO MAX + SENSOR PROXIMIDAD,1990
A-IPH12P,FLEX AURICULAR IPHONE 12 / 12 PRO,2990
FA-IPH12M,FLEX AURICULAR IPHONE 12 MINI,2990
A-IPH12PM,FLEX AURICULAR IPHONE 12 PRO MAX,2990
A-IPH13,FLEX AURICULAR IPHONE 13,1900
A-IPH13M,FLEX AURICULAR IPHONE 13 MINI,1900
A-IPH13P,FLEX AURICULAR IPHONE 13 PRO,2500
A-IPH13PMX,FLEX AURICULAR IPHONE 13 PRO MAX,2500
A-IPH15P,FLEX AURICULAR IPHONE 15 PRO,2990
A-IPH8,FLEX AURICULAR IPHONE 8,1300
A-IPHXS,FLEX AURICULAR IPHONE XS + SENSOR PROXIMIDAD,2500
A-IPHXSMAX,FLEX AURICULAR IPHONE XS MAX,2500
BH-IPH5S,FLEX BOTON HOME IPHONE 5S,1350
BH-IPH6/6P-B,FLEX BOTON HOME IPHONE 6 / 6 PLUS BLANCO,690
BH-IPH6/6P-N,FLEX BOTON HOME IPHONE 6 / 6 PLUS NEGRO,690
BH-IPH6S/6SP-B,FLEX BOTON HOME IPHONE 6S / 6S PLUS BLANCO,690
BH-IPH6S/6SP-N,FLEX BOTON HOME IPHONE 6S / 6S PLUS NEGRO,690
BH-IPH7/IPH8-B,FLEX BOTON HOME IPHONE 7 / 8 / 7P / 8P / SE 2020 / SE 2022 BLANCO,990
BH-IPH7/IPH8-N,FLEX BOTON HOME IPHONE 7 / 8 / 7P / 8P / SE 2020 / SE 2022 NEGRO,990
BH-IPHSE,FLEX BOTON HOME IPHONE SE,1290
BH-SAMJ7,FLEX BOTON HOME SAMSUNG J7,1350
BH-SAMS5,FLEX BOTON HOME SAMSUNG S5,1200
FCF-HUAP30L,FLEX CAMARA FRONTAL SELFIE HUAWEI P30 LITE,1890
FCF-HUAY9P2019,FLEX CAMARA FRONTAL SELFIE HUAWEI Y9 PRIME 2019,1890
FCF-IPH11,FLEX CAMARA FRONTAL SELFIE IPHONE 11,2490
FCF-IPH11P,FLEX CAMARA FRONTAL SELFIE IPHONE 11 PRO,6990
FCF-IPH11PM,FLEX CAMARA FRONTAL SELFIE IPHONE 11 PRO MAX,7990
FCF-IPH12,FLEX CAMARA FRONTAL SELFIE IPHONE 12,1990
F-CAIPH12M,FLEX CAMARA FRONTAL SELFIE IPHONE 12 MINI,2900
F-CAIPH12P,FLEX CAMARA FRONTAL SELFIE IPHONE 12 PRO,2990
F-CAIPH12PM,FLEX CAMARA FRONTAL SELFIE IPHONE 12 PRO MAX,3590
FCF-IPH13,FLEX CAMARA FRONTAL SELFIE IPHONE 13,2000
FCF-IPH13M,FLEX CAMARA FRONTAL SELFIE IPHONE 13 MINI,2000
FCF-IPH13P,FLEX CAMARA FRONTAL SELFIE IPHONE 13 PRO,2990
